rank	count	kind	file	line	context	source_hash
1	120493	CCX	src/point_add/trailmix_ludicrous/comparator.rs	864	none	5e71e827a1ac5d9c78bc5a7a24e9aaf01b2d836a5464dbf709e6baf83feb0be7
2	70651	CCX	src/point_add/trailmix_ludicrous/gcd.rs	745	none	d44cad3-current
3	70349	CCX	src/point_add/trailmix_ludicrous/gcd.rs	730	none	d44cad3-current
4	70178	CCX	src/point_add/trailmix_ludicrous/gcd.rs	935	none	d44cad3-current
5	69662	CCX	src/point_add/trailmix_ludicrous/gcd.rs	1296	none	d44cad3-current
6	65792	CCX	src/point_add/trailmix_ludicrous/gcd.rs	1510	none	d44cad3-current
7	65792	CCX	src/point_add/trailmix_ludicrous/gcd.rs	1558	none	d44cad3-current
8	65536	CCX	src/point_add/trailmix_ludicrous/fused.rs	1943	none	d44cad3-current
9	65536	CCX	src/point_add/trailmix_ludicrous/fused.rs	2008	none	d44cad3-current
10	21996	CCX	src/point_add/trailmix_ludicrous/arith.rs	1322	none	d44cad3-current
11	5777	CCX	src/point_add/trailmix_ludicrous/arith.rs	1090	none	d44cad3-current
12	4135	CCX	src/point_add/trailmix_ludicrous/gidney.rs	1253	none	d44cad3-current
13	3730	CCX	src/point_add/trailmix_ludicrous/arith.rs	1860	none	d44cad3-current
14	2928	CCX	src/point_add/trailmix_ludicrous/gidney.rs	1357	none	d44cad3-current
15	2094	CCX	src/point_add/trailmix_ludicrous/arith.rs	524	none	d44cad3-current
16	2094	CCX	src/point_add/trailmix_ludicrous/arith.rs	537	none	d44cad3-current
17	781	CCX	src/point_add/trailmix_ludicrous/gidney.rs	1416	none	d44cad3-current
18	512	CCX	src/point_add/trailmix_ludicrous/gcd.rs	784	none	d44cad3-current
19	512	CCX	src/point_add/trailmix_ludicrous/gcd.rs	812	none	d44cad3-current
20	495	CCX	src/point_add/trailmix_ludicrous/arith.rs	1865	none	4541d2c25124a046ee1d4818f01e9d114e79855efc1d71753292bdb3c20a2374
